Date,Time,Mann,Olin,Uris,Math,DayOfWeek,DayOfWeek_num,Hour,IsPrelimDay,IsPrelimMinus1,HourFloat
2025-10-05,4:08 PM,195.0,670.0,361.0,354.0,Sunday,0,16.133333333333333,0,0,16.133333333333333
2025-10-05,7:09 PM,114.0,562.0,248.0,102.0,Sunday,0,19.15,0,0,19.15
2025-10-05,8:49 PM,144.0,588.0,181.0,0.0,Sunday,0,20.816666666666663,0,0,20.816666666666663
2025-10-06,9:13 AM,57.0,205.0,140.0,60.0,Monday,1,9.216666666666669,0,1,9.216666666666669
2025-10-06,1:12 PM,403.0,294.0,281.0,223.0,Monday,1,13.2,0,1,13.2
2025-10-06,5:13 PM,229.0,647.0,406.0,220.0,Monday,1,17.216666666666665,0,1,17.216666666666665
2025-10-06,7:55 PM,70.0,589.0,357.0,41.0,Monday,1,19.916666666666668,0,1,19.916666666666668
2025-10-06,10:28 PM,30.0,448.0,212.0,0.0,Monday,1,22.466666666666665,0,1,22.466666666666665
2025-10-07,10:01 AM,178.0,133.0,133.0,85.0,Tuesday,2,10.016666666666667,1,0,10.016666666666667
2025-10-07,2:56 PM,226.0,441.0,218.0,283.0,Tuesday,2,14.933333333333334,1,0,14.933333333333334
2025-10-07,4:54 PM,401.0,795.0,278.0,261.0,Tuesday,2,16.9,1,0,16.9
2025-10-07,6:34 PM,356.0,589.0,351.0,57.0,Tuesday,2,18.566666666666663,1,0,18.566666666666663
2025-10-08,10:14 AM,97.0,213.0,79.0,80.0,Wednesday,3,10.233333333333333,0,1,10.233333333333333
2025-10-08,1:36 PM,374.0,705.0,290.0,200.0,Wednesday,3,13.6,0,1,13.6
2025-10-08,5:20 PM,483.0,812.0,372.0,107.0,Wednesday,3,17.333333333333332,0,1,17.333333333333332
2025-10-08,6:01 PM,370.0,698.0,301.0,167.0,Wednesday,3,18.016666666666666,0,1,18.016666666666666
2025-10-09,10:14 AM,103.0,294.0,135.0,81.0,Thursday,4,10.233333333333333,1,0,10.233333333333333
2025-10-09,4:40 PM,174.0,489.0,296.0,281.0,Thursday,4,16.666666666666668,1,0,16.666666666666668
2025-10-09,10:19 PM,23.0,291.0,166.0,0.0,Thursday,4,22.316666666666663,1,0,22.316666666666663
2025-10-10,1:21 PM,231.0,313.0,276.0,246.0,Friday,5,13.35,0,0,13.35
2025-10-10,6:34 PM,0.0,0.0,190.0,0.0,Friday,5,18.566666666666663,0,0,18.566666666666663
2025-10-10,8:20 PM,0.0,0.0,178.0,0.0,Friday,5,20.33333333333333,0,0,20.33333333333333
2025-10-11,11:43 AM,0.0,125.0,38.0,0.0,Saturday,6,11.716666666666669,0,0,11.716666666666669
2025-10-11,11:49 AM,0.0,102.0,54.0,0.0,Saturday,6,11.816666666666666,0,0,11.816666666666666
2025-10-11,4:03 PM,64.0,144.0,85.0,0.0,Saturday,6,16.05,0,0,16.05
2025-10-11,5:55 PM,33.0,9.0,89.0,0.0,Saturday,6,17.916666666666668,0,0,17.916666666666668
2025-10-11,10:58 PM,0.0,0.0,26.0,0.0,Saturday,6,22.966666666666665,0,0,22.966666666666665
2025-10-12,10:44 AM,0.0,93.0,41.0,0.0,Sunday,0,10.733333333333333,0,0,10.733333333333333
2025-10-12,12:26 PM,98.0,92.0,77.0,31.0,Sunday,0,12.433333333333334,0,0,12.433333333333334
2025-10-12,9:37 PM,35.0,182.0,39.0,0.0,Sunday,0,21.616666666666667,0,0,21.616666666666667
2025-10-13,4:13 PM,69.0,134.0,103.0,110.0,Monday,1,16.216666666666665,0,0,16.216666666666665
2025-10-13,9:42 PM,15.0,339.0,43.0,0.0,Monday,1,21.7,0,0,21.7
2025-10-13,11:27 PM,27.0,121.0,52.0,0.0,Monday,1,23.45,0,0,23.45
2025-10-14,9:31 AM,36.0,71.0,42.0,16.0,Tuesday,2,9.516666666666667,0,0,9.516666666666667
2025-10-14,5:49 PM,22.0,154.0,130.0,58.0,Tuesday,2,17.816666666666666,0,0,17.816666666666666
2025-10-14,5:56 PM,46.0,117.0,116.0,62.0,Tuesday,2,17.933333333333334,0,0,17.933333333333334
2025-10-14,6:10 PM,45.0,138.0,64.0,38.0,Tuesday,2,18.166666666666668,0,0,18.166666666666668
2025-10-14,7:35 PM,23.0,240.0,113.0,19.0,Tuesday,2,19.58333333333333,0,0,19.58333333333333
2025-10-15,9:53 AM,127.0,147.0,93.0,56.0,Wednesday,3,9.883333333333333,0,1,9.883333333333333
2025-10-15,12:19 PM,248.0,421.0,130.0,100.0,Wednesday,3,12.316666666666666,0,1,12.316666666666666
2025-10-15,9:35 PM,32.0,396.0,102.0,0.0,Wednesday,3,21.58333333333333,0,1,21.58333333333333
2025-10-15,10:01 PM,14.0,393.0,61.0,0.0,Wednesday,3,22.016666666666666,0,1,22.016666666666666
2025-10-16,9:55 AM,76.0,208.0,112.0,53.0,Thursday,4,9.916666666666666,1,0,9.916666666666666
2025-10-16,7:09 PM,92.0,471.0,203.0,58.0,Thursday,4,19.15,1,0,19.15
2025-10-16,8:20 PM,68.0,586.0,147.0,0.0,Thursday,4,20.33333333333333,1,0,20.33333333333333
2025-10-16,9:31 PM,62.0,365.0,74.0,0.0,Thursday,4,21.516666666666666,1,0,21.516666666666666
2025-10-17,12:52 PM,305.0,251.0,151.0,82.0,Friday,5,12.866666666666667,0,0,12.866666666666667
2025-10-17,2:50 PM,264.0,326.0,286.0,219.0,Friday,5,14.833333333333334,0,0,14.833333333333334
2025-10-17,5:49 PM,21.0,67.0,301.0,0.0,Friday,5,17.816666666666666,0,0,17.816666666666666
2025-10-18,10:34 AM,0.0,212.0,111.0,0.0,Saturday,6,10.566666666666666,0,0,10.566666666666666
2025-10-18,3:22 PM,226.0,381.0,535.0,0.0,Saturday,6,15.366666666666667,0,0,15.366666666666667
2025-10-18,4:54 PM,200.0,328.0,275.0,0.0,Saturday,6,16.9,0,0,16.9
2025-10-18,9:42 PM,0.0,0.0,103.0,0.0,Saturday,6,21.7,0,0,21.7
2025-10-19,4:33 PM,189.0,494.0,258.0,155.0,Sunday,0,16.55,0,0,16.55
2025-10-19,4:42 PM,213.0,539.0,396.0,200.0,Sunday,0,16.7,0,0,16.7
2025-10-19,10:50 PM,0.0,619.0,211.0,0.0,Sunday,0,22.83333333333333,0,0,22.83333333333333
2025-10-20,8:21 AM,98.0,121.0,84.0,0.0,Monday,1,8.35,0,1,8.35
2025-10-20,9:40 AM,110.0,322.0,110.0,42.0,Monday,1,9.666666666666666,0,1,9.666666666666666
2025-10-20,4:15 PM,344.0,615.0,421.0,401.0,Monday,1,16.25,0,1,16.25
2025-10-21,10:27 AM,117.0,299.0,150.0,58.0,Tuesday,2,10.45,1,0,10.45
2025-10-21,12:36 PM,293.0,579.0,198.0,203.0,Tuesday,2,12.6,1,0,12.6
2025-10-21,5:43 PM,424.0,774.0,389.0,95.0,Tuesday,2,17.716666666666665,1,0,17.716666666666665
2025-10-21,8:07 PM,41.0,432.0,234.0,0.0,Tuesday,2,20.116666666666667,1,0,20.116666666666667
2025-10-22,12:46 PM,251.0,431.0,313.0,131.0,Wednesday,3,12.766666666666667,0,1,12.766666666666667
2025-10-22,5:26 PM,61.0,570.0,182.0,128.0,Wednesday,3,17.433333333333334,0,1,17.433333333333334
2025-10-22,7:20 PM,32.0,388.0,244.0,93.0,Wednesday,3,19.33333333333333,0,1,19.33333333333333
2025-10-22,9:38 PM,40.0,277.0,117.0,0.0,Wednesday,3,21.633333333333333,0,1,21.633333333333333
2025-10-22,10:25 PM,38.0,212.0,98.0,0.0,Wednesday,3,22.416666666666668,0,1,22.416666666666668
2025-10-23,12:05 PM,260.0,438.0,118.0,142.0,Thursday,4,12.083333333333334,1,0,12.083333333333334
2025-10-23,6:44 PM,32.0,676.0,136.0,85.0,Thursday,4,18.73333333333333,1,0,18.73333333333333
2025-10-23,7:46 PM,81.0,447.0,175.0,47.0,Thursday,4,19.766666666666666,1,0,19.766666666666666
2025-10-23,9:01 PM,54.0,235.0,94.0,0.0,Thursday,4,21.016666666666666,1,0,21.016666666666666
2025-10-24,11:38 AM,165.0,198.0,225.0,131.0,Friday,5,11.633333333333333,0,0,11.633333333333333
2025-10-24,1:19 PM,243.0,362.0,188.0,246.0,Friday,5,13.316666666666666,0,0,13.316666666666666
2025-10-24,6:55 PM,0.0,0.0,78.0,0.0,Friday,5,18.916666666666668,0,0,18.916666666666668
2025-10-24,7:53 PM,0.0,0.0,111.0,0.0,Friday,5,19.883333333333333,0,0,19.883333333333333
2025-10-24,9:47 PM,0.0,0.0,65.0,0.0,Friday,5,21.78333333333333,0,0,21.78333333333333
2025-10-25,10:50 AM,0.0,253.0,166.0,0.0,Saturday,6,10.833333333333334,0,0,10.833333333333334
2025-10-25,12:25 PM,41.0,423.0,224.0,0.0,Saturday,6,12.416666666666666,0,0,12.416666666666666
2025-10-25,9:06 PM,0.0,0.0,177.0,0.0,Saturday,6,21.1,0,0,21.1
2025-10-26,10:44 AM,0.0,283.0,0.0,0.0,Sunday,0,10.733333333333333,0,0,
2025-10-26,12:26 PM,96.0,291.0,156.0,0.0,Sunday,0,12.433333333333334,0,0,
2025-10-26,4:08 PM,147.0,500.0,220.0,0.0,Sunday,0,16.133333333333333,0,0,
2025-10-26,4:33 PM,148.0,375.0,198.0,0.0,Sunday,0,16.55,0,0,
2025-10-26,4:42 PM,156.0,521.0,303.0,0.0,Sunday,0,16.7,0,0,
2025-10-26,7:09 PM,119.0,375.0,204.0,0.0,Sunday,0,19.15,0,0,
2025-10-26,8:49 PM,133.0,540.0,214.0,0.0,Sunday,0,20.816666666666663,0,0,
2025-10-26,9:37 PM,82.0,355.0,148.0,0.0,Sunday,0,21.616666666666667,0,0,
2025-10-26,10:50 PM,0.0,395.0,172.0,0.0,Sunday,0,22.83333333333333,0,0,
2025-10-27,8:21 AM,167.0,321.0,190.0,0.0,Monday,1,8.35,0,1,
2025-10-27,9:13 AM,106.0,285.0,178.0,88.0,Monday,1,9.216666666666669,0,1,
2025-10-27,9:40 AM,119.0,338.0,141.0,75.0,Monday,1,9.666666666666666,0,1,
2025-10-27,1:12 PM,279.0,306.0,211.0,159.0,Monday,1,13.2,0,1,
2025-10-27,4:13 PM,126.0,298.0,200.0,0.0,Monday,1,16.216666666666665,0,1,
2025-10-27,4:15 PM,195.0,514.0,296.0,0.0,Monday,1,16.25,0,1,
2025-10-27,5:13 PM,229.0,615.0,447.0,0.0,Monday,1,17.216666666666665,0,1,
2025-10-27,7:55 PM,132.0,670.0,303.0,0.0,Monday,1,19.916666666666668,0,1,
2025-10-27,9:42 PM,110.0,443.0,178.0,0.0,Monday,1,21.7,0,1,
2025-10-27,10:28 PM,0.0,451.0,192.0,0.0,Monday,1,22.466666666666665,0,1,
2025-10-27,11:27 PM,0.0,251.0,0.0,0.0,Monday,1,23.45,0,1,
2025-10-28,9:31 AM,142.0,293.0,177.0,81.0,Tuesday,2,9.516666666666667,1,0,
2025-10-28,10:01 AM,207.0,277.0,224.0,108.0,Tuesday,2,10.016666666666667,1,0,
2025-10-28,10:27 AM,143.0,395.0,144.0,77.0,Tuesday,2,10.45,1,0,
2025-10-28,12:36 PM,278.0,596.0,258.0,173.0,Tuesday,2,12.6,1,0,
2025-10-28,2:56 PM,344.0,642.0,301.0,191.0,Tuesday,2,14.933333333333334,1,0,
2025-10-28,4:54 PM,352.0,622.0,268.0,0.0,Tuesday,2,16.9,1,0,
2025-10-28,5:43 PM,452.0,865.0,401.0,0.0,Tuesday,2,17.716666666666665,1,0,
2025-10-28,5:49 PM,115.0,393.0,272.0,0.0,Tuesday,2,17.816666666666666,1,0,
2025-10-28,5:56 PM,140.0,317.0,166.0,0.0,Tuesday,2,17.933333333333334,1,0,
2025-10-28,6:10 PM,130.0,337.0,190.0,0.0,Tuesday,2,18.166666666666668,1,0,
2025-10-28,6:34 PM,279.0,547.0,273.0,0.0,Tuesday,2,18.566666666666663,1,0,
2025-10-28,7:35 PM,116.0,378.0,176.0,0.0,Tuesday,2,19.58333333333333,1,0,
2025-10-28,8:07 PM,106.0,413.0,237.0,0.0,Tuesday,2,20.116666666666667,1,0,
2025-10-29,9:53 AM,117.0,251.0,131.0,67.0,Wednesday,3,9.883333333333333,0,1,
2025-10-29,10:14 AM,171.0,392.0,190.0,115.0,Wednesday,3,10.233333333333333,0,1,
2025-10-29,12:19 PM,246.0,453.0,168.0,96.0,Wednesday,3,12.316666666666666,0,1,
2025-10-29,12:46 PM,212.0,478.0,259.0,119.0,Wednesday,3,12.766666666666667,0,1,
2025-10-29,1:36 PM,277.0,632.0,286.0,159.0,Wednesday,3,13.6,0,1,
2025-10-29,5:20 PM,394.0,798.0,385.0,0.0,Wednesday,3,17.333333333333332,0,1,
2025-10-29,5:26 PM,154.0,624.0,210.0,0.0,Wednesday,3,17.433333333333334,0,1,
2025-10-29,6:01 PM,302.0,644.0,276.0,0.0,Wednesday,3,18.016666666666666,0,1,
2025-10-29,7:20 PM,110.0,453.0,260.0,0.0,Wednesday,3,19.33333333333333,0,1,
2025-10-29,9:35 PM,123.0,512.0,155.0,0.0,Wednesday,3,21.58333333333333,0,1,
2025-10-29,9:38 PM,136.0,463.0,162.0,0.0,Wednesday,3,21.633333333333333,0,1,
2025-10-29,10:01 PM,0.0,521.0,169.0,0.0,Wednesday,3,22.016666666666666,0,1,
2025-10-29,10:25 PM,0.0,319.0,146.0,0.0,Wednesday,3,22.416666666666668,0,1,
2025-10-30,9:55 AM,117.0,384.0,155.0,70.0,Thursday,4,9.916666666666666,1,0,
2025-10-30,10:14 AM,137.0,483.0,200.0,102.0,Thursday,4,10.233333333333333,1,0,
2025-10-30,12:05 PM,203.0,437.0,147.0,118.0,Thursday,4,12.083333333333334,1,0,
2025-10-30,4:40 PM,133.0,588.0,296.0,0.0,Thursday,4,16.666666666666668,1,0,
2025-10-30,6:44 PM,83.0,590.0,164.0,0.0,Thursday,4,18.73333333333333,1,0,
2025-10-30,7:09 PM,110.0,560.0,232.0,0.0,Thursday,4,19.15,1,0,
2025-10-30,7:46 PM,80.0,443.0,145.0,0.0,Thursday,4,19.766666666666666,1,0,
2025-10-30,8:20 PM,119.0,689.0,187.0,0.0,Thursday,4,20.33333333333333,1,0,
2025-10-30,9:01 PM,105.0,470.0,182.0,0.0,Thursday,4,21.016666666666666,1,0,
2025-10-30,9:31 PM,102.0,484.0,135.0,0.0,Thursday,4,21.516666666666666,1,0,
2025-10-30,10:19 PM,0.0,424.0,206.0,0.0,Thursday,4,22.316666666666663,1,0,
2025-10-31,11:38 AM,144.0,168.0,204.0,132.0,Friday,5,11.633333333333333,0,0,
