Date,Time,Mann,Olin,Uris,Math,DayOfWeek
10/5/25,4:08 PM,195,670,361,354,Sunday
10/5/25,7:09 PM,114,562,248,102,Sunday
10/5/25,8:49 PM,144,588,181,0,Sunday
10/6/25,9:13 AM,57,205,140,60,Monday
10/6/25,1:12 PM,403,294,281,223,Monday
10/6/25,5:13 PM,229,647,406,220,Monday
10/6/25,7:55 PM,70,589,357,41,Monday
10/6/25,10:28 PM,30,448,212,0,Monday
10/7/25,10:01 AM,178,133,133,85,Tuesday
10/7/25,2:56 PM,226,441,218,283,Tuesday
10/7/25,4:54 PM,401,795,278,261,Tuesday
10/7/25,6:34 PM,356,589,351,57,Tuesday
10/8/25,10:14 AM,97,213,79,80,Wednesday
10/8/25,1:36 PM,374,705,290,200,Wednesday
10/8/25,5:20 PM,483,812,372,107,Wednesday
10/8/25,6:01 PM,370,698,301,167,Wednesday
10/9/25,10:14 AM,103,294,135,81,Thursday
10/9/25,4:40 PM,174,489,296,281,Thursday
10/9/25,10:19 PM,23,291,166,0,Thursday
10/10/25,1:21 PM,231,313,276,246,Friday
10/10/25,6:34 PM,0,0,190,0,Friday
10/10/25,8:20 PM,0,0,178,0,Friday
10/11/25,11:43 AM,0,125,38,0,Saturday
10/11/25,11:49 AM,0,102,54,0,Saturday
10/11/25,4:03 PM,64,144,85,0,Saturday
10/11/25,5:55 PM,33,9,89,0,Saturday
10/11/25,10:58 PM,0,0,26,0,Saturday
10/12/25,10:44 AM,0,93,41,0,Sunday
10/12/25,12:26 PM,98,92,77,31,Sunday
10/12/25,9:37 PM,35,182,39,0,Sunday
10/13/25,4:13 PM,69,134,103,110,Monday
10/13/25,9:42 PM,15,339,43,0,Monday
10/13/25,11:27 PM,27,121,52,0,Monday
10/14/25,9:31 AM,36,71,42,16,Tuesday
10/14/25,5:49 PM,22,154,130,58,Tuesday
10/14/25,5:56 PM,46,117,116,62,Tuesday
10/14/25,6:10 PM,45,138,64,38,Tuesday
10/14/25,7:35 PM,23,240,113,19,Tuesday
10/15/25,9:53 AM,127,147,93,56,Wednesday
10/15/25,12:19 PM,248,421,130,100,Wednesday
10/15/25,9:35 PM,32,396,102,0,Wednesday
10/15/25,10:01 PM,14,393,61,0,Wednesday
10/16/25,9:55 AM,76,208,112,53,Thursday
10/16/25,7:09 PM,92,471,203,58,Thursday
10/16/25,8:20 PM,68,586,147,0,Thursday
10/16/25,9:31 PM,62,365,74,0,Thursday
10/17/25,12:52 PM,305,251,151,82,Friday
10/17/25,2:50 PM,264,326,286,219,Friday
10/17/25,5:49 PM,21,67,301,0,Friday
10/18/25,10:34 AM,0,212,111,0,Saturday
10/18/25,3:22 PM,226,381,535,0,Saturday
10/18/25,4:54 PM,200,328,275,0,Saturday
10/18/25,9:42 PM,0,0,103,0,Saturday
10/19/25,4:33 PM,189,494,258,155,Sunday
10/19/25,4:42 PM,213,539,396,200,Sunday
10/19/25,10:50 PM,0,619,211,0,Sunday
10/20/25,8:21 AM,98,121,84,0,Monday
10/20/25,9:40 AM,110,322,110,42,Monday
10/20/25,4:15 PM,344,615,421,401,Monday
10/21/25,10:27 AM,117,299,150,58,Tuesday
10/21/25,12:36 PM,293,579,198,203,Tuesday
10/21/25,5:43 PM,424,774,389,95,Tuesday
10/21/25,8:07 PM,41,432,234,0,Tuesday
10/22/25,12:46 PM,251,431,313,131,Wednesday
10/22/25,5:26 PM,61,570,182,128,Wednesday
10/22/25,7:20 PM,32,388,244,93,Wednesday
10/22/25,9:38 PM,40,277,117,0,Wednesday
10/22/25,10:25 PM,38,212,98,0,Wednesday
10/23/25,12:05 PM,260,438,118,142,Thursday
10/23/25,6:44 PM,32,676,136,85,Thursday
10/23/25,7:46 PM,81,447,175,47,Thursday
10/23/25,9:01 PM,54,235,94,0,Thursday
10/24/25,11:38 AM,165,198,225,131,Friday
10/24/25,1:19 PM,243,362,188,246,Friday
10/24/25,6:55 PM,0,0,78,0,Friday
10/24/25,7:53 PM,0,0,111,0,Friday
10/24/25,9:47 PM,0,0,65,0,Friday
10/25/25,10:50 AM,0,253,166,0,Saturday
10/25/25,12:25 PM,41,423,224,0,Saturday
10/25/25,9:06 PM,0,0,177,0,Saturday
,,,,,,
,,,,,,
,,,,,,